name,movies,teleplay,all,award,1,2,3,4,4以后,剧情,爱情,悬疑,惊悚,喜剧,战争,动作,武侠,古装,犯罪,冒险,家庭,奇幻,历史,科幻,动画,儿童,NULL,恐怖,鬼怪,运动,灾难,戏曲,歌舞,情色,传记,同性,音乐,黑色电影,真人秀,短片,脱口秀,舞台艺术
郭锋,1,1,2,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
罗兰,1,2,3,2.5,0,0,0,0,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
骆应钧,2,0,2,0,0,0,0,0,2,1,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黄奕,3,0,3,0,0,0,1,0,2,0,0,1,2,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钱嘉乐,3,1,4,7,0,1,0,0,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
谷德昭,3,0,3,0.5,0,0,0,0,3,0,1,1,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
杜夫·龙格尔,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
斯科特·阿金斯,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
李承炫,1,2,3,0,0,0,1,2,0,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
耿乐,2,2,4,0.5,0,1,0,0,3,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
